"species","licophyte","family","name","name_accepted","life_form","indumentum","thickness"
"sp042",0,"Cyatheaceae","Cyathea delgadii","Cyathea delgadii","ter","presente","membranacea"
"sp043",0,"Cyatheaceae","Cyathea leucofolis","Cyathea leucofolis","ter","presente","coriacea"
"sp044",0,"Cyatheaceae","Cyathea phalerata","Cyathea phalerata","ter","ausente","membranacea"
"sp045",0,"Marattiaceae","Danaea elliptica","Danaea nodosa","ter","ausente","coriacea"
"sp046",0,"Marattiaceae","Danaea moritziana","Danaea moritziana","ter","ausente","membranacea"
"sp047",0,"Dennstaedtiaceae","Dennstaedtia dissecta","Dennstaedtia dissecta","ter","presente","membranacea"
"sp048",0,"Dryopteridaceae","Didymochlaena truncatula","Didymochlaena truncatula","ter","presente","membranacea"
"sp049",0,"Woodsiaceae","Diplazium ambiguum","Diplazium ambiguum","ter","ausente","membranacea"
"sp050",0,"Woodsiaceae","Diplazium cristatum","Diplazium cristatum","ter","ausente","membranacea"
"sp051",0,"Woodsiaceae","Diplazium leptocarpon","Diplazium leptocarpon","ter","ausente","membranacea"
"sp052",0,"Woodsiaceae","Diplazium plantaginifolium","Diplazium plantaginifolium","ter","presente","membranacea"
"sp053",0,"Pteridaceae","Doryopteris acutiloba","Doryopteris acutiloba","ter","ausente","coriacea"
"sp054",0,"Dryopteridaceae","Elaphoglossum brachyneuron","Elaphoglossum brachyneuron","ep","presente","membranacea"
"sp055",0,"Dryopteridaceae","Elaphoglossum chrysolepis","Elaphoglossum chrysolepis","ep","presente","membranacea"
"sp056",0,"Dryopteridaceae","Elaphoglossum crassinerve","Elaphoglossum crassinerve","ep","ausente","membranacea"
